maxordQty,handlingDays,name,Brand,Origin,Supplier,Cat,storeStock,retailPrice,LowerSugar,TransFat,LactoseFree
51.0,0.0,Kara UHT Coconut Packet Cream,Kara,Indonesia,DKSH MARKETING (S) PTE LTD*,Baking Needs,2269.0,0.9,No,No,No
51.0,0.0,Royal Umbrella Thai Hom Mali Rice,Royal Umbrella,Thailand,TOPSELLER PTE LTD,Rice,1207.0,16.8,No,No,No
51.0,0.0,FairPrice Jasmine Fragrant Rice,Fairprice,Vietnam,JOO KOON DC,"Rice, Noodles & Cooking Ingredients",921.0,8.2,No,No,No
51.0,0.0,Tai Sun Rice Vermicelli,Tai Sun,Singapore,JOO KOON DC,Noodles,790.0,1.2,No,No,No
51.0,0.0,Royal Umbrella Thai Hom Mali Rice,Royal Umbrella,Thailand,TOPSELLER PTE LTD,Rice,866.0,32.8,No,No,No
51.0,0.0,FairPrice Pure Cane Sugar - Fine Grain,Fairprice,Thailand,no info,"Rice, Noodles & Cooking Ingredients",780.0,1.5,No,No,No
51.0,0.0,Prima Flour Packet Flour - Plain,Prima,Singapore,JOO KOON DC,Baking Needs,644.0,2.5,No,No,No
51.0,0.0,Maggi Tomato Sauce,Maggi,Malaysia,no info,Condiments,3921.0,1.95,No,No,No
51.0,0.0,Naturel Cooking Oil - Premium Blend of Canola & Sunflower,Naturel,Malaysia,JOO KOON DC,Oil,530.0,11.95,Yes,No,No
51.0,0.0,Pagoda Fine Salt (Box),Pagoda,China,JOO KOON DC,Seasonings,600.0,0.5,No,No,No
51.0,0.0,SongHe AAA Thai Hom Mali Rice,Songhe,Thailand,TONG SENG PRODUCE PTE LTD,Rice,434.0,32.8,No,No,No
51.0,0.0,SongHe AAA Thai Hom Mali Rice,Songhe,Thailand,TONG SENG PRODUCE PTE LTD,Rice,507.0,16.9,No,No,No
51.0,0.0,Naturel Olive Oil - Pure,Naturel,Spain,JOO KOON DC,Oil,571.0,26.9,Yes,No,No
51.0,0.0,San Remo Pasta - Elbows,San Remo,Australia,JOO KOON DC,Pasta,494.0,2.4,No,No,No
999.0,0.0,Naturel Cooking Oil - Canola,Naturel,Malaysia,JOO KOON DC,Oil,488.0,9.4,Yes,No,No
51.0,0.0,San Remo Pasta - Spaghetti,San Remo,Australia,JOO KOON DC,Pasta,482.0,2.4,No,No,No
51.0,0.0,Swanson 99% Fat Free Clear Chicken Broth,Swanson,Australia,JOO KOON DC,Soups,934.0,3.9,No,No,No
51.0,0.0,SongHe AAA Thai Hom Mali Rice - New Crop,Songhe,Thailand,JOO KOON DC,Rice,193.0,17.5,No,No,No
51.0,0.0,Bake King Flours - Plain (All Purpose),Bake King,Singapore,JOO KOON DC,Baking Needs,478.0,2.65,No,No,No
51.0,0.0,SIS White Sugar - Fine Grain,Sis,Australia,JOO KOON DC,Sugar & Sweeteners,465.0,1.9,No,No,No
51.0,0.0,Maggi Chili Sauce,Maggi,Malaysia,no info,Condiments,669.0,2.35,No,No,No
51.0,0.0,Naturel Organic Rice - Mixed Brown and Red,Naturel,Thailand,no info,Rice,398.0,10.8,Yes,Yes,No
51.0,0.0,Knife Brand Cooking Oil,Knife Brand,Malaysia,JOO KOON DC,Oil,196.0,20.3,No,Yes,No
51.0,0.0,Del Monte 100% Natural Tomato Ketchup,Del Monte,China,JOO KOON DC,Condiments,352.0,1.25,No,No,No
51.0,0.0,Prima Flour Packet Flour - Bread,Prima,Singapore,JOO KOON DC,Baking Needs,479.0,2.9,No,No,No
51.0,0.0,Duck Brand Vegetable Cooking Oil,Duck Brand,Malaysia,JOO KOON DC,Oil,522.0,6.7,No,Yes,No
51.0,0.0,Chilli Brand Rice Vermicelli,Chillies Brand,Singapore,JOO KOON DC,Noodles,175.0,1.4,No,No,No
51.0,0.0,Prego Pasta Sauce - Traditional Tomato,Prego,Malaysia,JOO KOON DC,Cooking Paste & Sauces,295.0,5.45,No,No,No
51.0,0.0,Chee Seng Sesame Oil - White,Chee Seng,Singapore,no info,Oil,386.0,9.4,Yes,No,No
51.0,0.0,Pagoda Pure Corn Flour,Pagoda,Netherlands,JOO KOON DC,Baking Needs,321.0,0.85,No,No,No
999.0,0.0,Naturel Cooking Oil - Premium Blend of Canola & Sunflower,Naturel,Malaysia,JOO KOON DC,Oil,457.0,10.8,Yes,Yes,No
51.0,0.0,A1 Instant Rice Vermicelli,A1,Malaysia,no info,Noodles,407.0,3.3,No,No,No
51.0,0.0,FairPrice Pure Cane Sugar - Fine Grain,Fairprice,Thailand,no info,"Rice, Noodles & Cooking Ingredients",246.0,2.95,No,No,No
51.0,0.0,Kara UHT Coconut Milk - Light,Kara,Indonesia,DKSH SOUTH EAST ASIA PTE LTD,Baking Needs,699.0,0.9,No,No,No
51.0,0.0,FairPrice AAA Golden Royal Dragon Thai White Fragrant Rice,Fairprice,Thailand,RICE - TRADING,"Rice, Noodles & Cooking Ingredients",123.0,11.15,No,No,No
51.0,0.0,FairPrice Premium Quality Fine Salt Box,Fairprice,Singapore,JOO KOON DC,"Rice, Noodles & Cooking Ingredients",291.0,0.45,No,No,No
51.0,0.0,Tai Hua Light Soy Sauce - Standard (Big),Tai Hua,Singapore,JOO KOON DC,Condiments,251.0,2.7,No,No,No
99999.0,2.0,Golden Pineapple Japonica Rice (Short Grain Calrose),Golden Pineapple,Vietnam,no info,Rice,69879.0,12.5,No,No,No
51.0,0.0,Prego Pasta Sauce - Tomato Mushroom,Prego,Malaysia,JOO KOON DC,Cooking Paste & Sauces,288.0,5.45,No,No,No
999.0,0.0,Fairprice Thailand Rice - Brown (Unpolished),Fairprice,Thailand,no info,Rice,317.0,11.2,Yes,No,No
51.0,0.0,Knife Brand Cooking Oil,Knife Brand,Malaysia,JOO KOON DC,Oil,172.0,8.05,No,Yes,No
51.0,0.0,Rice Field 100% Pure Rice Bran Oil,Rice Field,Thailand,JOO KOON DC,Oil,232.0,9.25,Yes,Yes,No
51.0,0.0,Okome Japanese Rice - Short Grain,Okome,USA,JOO KOON DC,Rice,199.0,12.9,No,No,No
51.0,0.0,Swanson Clear Chicken Broth,Swanson,China,JOO KOON DC,Soups,702.0,1.3,No,No,No
51.0,0.0,Lee Kum Kee Oyster Sauce - Panda Brand,Lee Kum Kee,Hong Kong,JOO KOON DC,Condiments,297.0,4.85,No,No,No
51.0,0.0,Lee Kum Kee Oyster Sauce - Panda Brand + Light Soy Sauce,Lee Kum Kee,Malaysia,JOO KOON DC,Condiments,187.0,7.4,No,No,No
51.0,0.0,Marigold Dawn Sweetened Beverage Creamer ,Marigold,Singapore,JOO KOON DC,Sugar & Sweeteners,368.0,2.5,No,No,No
51.0,0.0,FairPrice Sunflower Oil,Fairprice,Singapore,no info,"Rice, Noodles & Cooking Ingredients",294.0,16.5,Yes,No,No
51.0,0.0,Prima Flour Packet Flour - Self Raising,Prima,Singapore,JOO KOON DC,Baking Needs,359.0,2.75,No,No,No
51.0,0.0,Heinz Tomato Ketchup,Heinz,USA,JOO KOON DC,Condiments,266.0,1.35,No,No,No
51.0,0.0,Naturel Organic Rice - Brown,Naturel,Thailand,no info,Rice,382.0,10.8,Yes,No,No
51.0,0.0,Lee Kum Kee Soy Sauce - Light,Lee Kum Kee,China,JOO KOON DC,Condiments,316.0,1.8,No,No,No
51.0,0.0,SIS Brown Sugar - Fine Textured,Sis,Singapore,JOO KOON DC,Sugar & Sweeteners,271.0,3.35,No,No,No
51.0,0.0,FairPrice Pure Cane Sugar - Fine Grain,Fairprice,Thailand,no info,"Rice, Noodles & Cooking Ingredients",308.0,4.15,No,No,No
51.0,0.0,San Remo Pasta - Angel Hair Spaghetti,San Remo,Australia,JOO KOON DC,Pasta,311.0,2.4,No,No,No
51.0,0.0,FairPrice Plain Flour,Fairprice,Vietnam,no info,"Rice, Noodles & Cooking Ingredients",196.0,1.85,No,No,No
51.0,0.0,SIS Caster Sugar - Extra Fine,Sis,Singapore,JOO KOON DC,Sugar & Sweeteners,313.0,2.65,No,No,No
